"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"LOC111128944","LOC111128944","LOC111128944",NA,"protein_coding","Eastern oyster","NC_035780.1",0.108305,NA,NA,1,1773,1773,1773,NA,NA,1
"LOC111133260","LOC111133260","LOC111133260",NA,"protein_coding","Eastern oyster","NC_035780.1",0.315522,"tyrosine-protein phosphatase non-receptor type 5-like",NA,1,24740,1983,24740,NA,NA,15
"LOC111117521","LOC111117521","LOC111117521",NA,"protein_coding","Eastern oyster","NC_035789.1",0.346793,"uncharacterized LOC111117521",NA,1,1820,399,1820,NA,NA,3
"LOC111117616","LOC111117616","LOC111117616",NA,"protein_coding","Eastern oyster","NC_035789.1",0.360188,"uncharacterized LOC111117616- transcript variant X2",NA,2,18071,1053,18070,NA,NA,3
"LOC111119377","LOC111119377","LOC111119377",NA,"protein_coding","Eastern oyster","NC_035780.1",0.366837,"probable G-protein coupled receptor 83",NA,1,3834,1092,3834,NA,NA,2
"LOC111116734","LOC111116734","LOC111116734",NA,"protein_coding","Eastern oyster","NC_035789.1",0.438329,"uncharacterized LOC111116734",NA,1,2832,1551,2832,NA,NA,2
"LOC111109809","LOC111109809","LOC111109809",NA,"protein_coding","Eastern oyster","NC_035780.1",0.444907,"peroxisome proliferator-activated receptor delta-like",NA,1,8404,1368,8404,NA,NA,8
"LOC111112773","LOC111112773","LOC111112773",NA,"protein_coding","Eastern oyster","NC_035780.1",0.502147,"potassium voltage-gated channel protein Shaw-like- transcript variant X1",NA,2,6683,1767,6683,NA,NA,4
"LOC111101099","LOC111101099","LOC111101099",NA,"protein_coding","Eastern oyster","NC_035785.1",0.515401,"uncharacterized LOC111101099- transcript variant X1",NA,2,9098,1392,9098,NA,NA,12
"LOC111103801","LOC111103801","LOC111103801",NA,"protein_coding","Eastern oyster","NC_035786.1",0.553757,"cell division cycle 5-like protein",NA,1,45593,2391,45593,NA,NA,20
"LOC111120086","LOC111120086","LOC111120086",NA,"protein_coding","Eastern oyster","NC_035781.1",0.848464,"fizzy-related protein homolog",NA,1,6379,1476,6379,NA,NA,13
"LOC111118497","LOC111118497","LOC111118497",NA,"protein_coding","Eastern oyster","NC_035781.1",0.887245,"cAMP-dependent protein kinase catalytic subunit- transcript variant X3",NA,9,26155,1111,14776,NA,NA,11
"LOC111106836","LOC111106836","LOC111106836",NA,"protein_coding","Eastern oyster","NC_035787.1",0.942101,"retinoid-inducible serine carboxypeptidase-like",NA,1,5884,1299,5884,NA,NA,12
"LOC111104066","LOC111104066","LOC111104066",NA,"protein_coding","Eastern oyster","NC_035786.1",1.089101,"uncharacterized LOC111104066- transcript variant X1",NA,2,6459,1845,6449,NA,NA,6
"LOC111104069","LOC111104069","LOC111104069",NA,"protein_coding","Eastern oyster","NC_035786.1",1.131325,"uncharacterized LOC111104069",NA,1,3569,858,3569,NA,NA,2
"LOC111119190","LOC111119190","LOC111119190",NA,"protein_coding","Eastern oyster","NC_035781.1",1.144874,"ornithine decarboxylase-like- transcript variant X1",NA,2,7946,1401,6238,NA,NA,12
"LOC111104068","LOC111104068","LOC111104068",NA,"protein_coding","Eastern oyster","NC_035786.1",1.331799,"nacrein-like protein",NA,1,7120,1290,7120,NA,NA,10
"LOC111104062","LOC111104062","LOC111104062",NA,"protein_coding","Eastern oyster","NC_035786.1",1.361663,"uncharacterized LOC111104062",NA,1,29445,3645,29445,NA,NA,6
"LOC111108689","LOC111108689","LOC111108689",NA,"protein_coding","Eastern oyster","NC_035787.1",1.364277,"fibrinogen-like protein 1",NA,1,2761,1047,2761,NA,NA,5
"LOC111102475","LOC111102475","LOC111102475",NA,"protein_coding","Eastern oyster","NC_035786.1",1.558587,"negative elongation factor D-like- transcript variant X3",NA,3,124856,1698,117980,NA,NA,15
"LOC111127806","LOC111127806","LOC111127806",NA,"protein_coding","Eastern oyster","NC_035783.1",1.939659,"uncharacterized LOC111127806- transcript variant X2",NA,2,3757,1806,3756,NA,NA,2
"LOC111121756","LOC111121756","LOC111121756",NA,"protein_coding","Eastern oyster","NC_035781.1",1.995797,"CD82 antigen-like- transcript variant X1",NA,2,6655,873,6655,NA,NA,9
"LOC111114793","LOC111114793","LOC111114793",NA,"protein_coding","Eastern oyster","NC_035788.1",2.114636,"uncharacterized LOC111114793- transcript variant X2",NA,2,6172,772,5254,NA,NA,6
"LOC111128106","LOC111128106","LOC111128106",NA,"protein_coding","Eastern oyster","NC_035783.1",2.145813,"uncharacterized LOC111128106- transcript variant X1",NA,2,20496,872,20496,NA,NA,12
"LOC111137529","LOC111137529","LOC111137529",NA,"protein_coding","Eastern oyster","NC_035784.1",2.284001,"uncharacterized LOC111137529",NA,1,9709,468,9709,NA,NA,7
"LOC111131752","LOC111131752","LOC111131752",NA,"protein_coding","Eastern oyster","NC_035780.1",2.478727,"zinc transporter 1-like- transcript variant X1",NA,3,14246,1272,14169,NA,NA,10
"LOC111131173","LOC111131173","LOC111131173",NA,"protein_coding","Eastern oyster","NC_035783.1",2.712138,"transmembrane protein 151B-like- transcript variant X2",NA,2,11737,1698,9276,NA,NA,2
"LOC111137334","LOC111137334","LOC111137334",NA,"protein_coding","Eastern oyster","NC_035784.1",2.721199,"uncharacterized LOC111137334",NA,1,3707,2700,3707,NA,NA,2
"LOC111137256","LOC111137256","LOC111137256",NA,"protein_coding","Eastern oyster","NC_035784.1",2.76697,"valacyclovir hydrolase-like- transcript variant X1",NA,3,7731,867,7665,NA,NA,8
"LOC111118840","LOC111118840","LOC111118840",NA,"protein_coding","Eastern oyster","NC_035781.1",2.846474,"collagen alpha-1(I) chain-like",NA,1,14241,1917,14241,NA,NA,12
"LOC111119645","LOC111119645","LOC111119645",NA,"protein_coding","Eastern oyster","NC_035780.1",2.949747,"cysteine-rich motor neuron 1 protein-like",NA,1,3263,810,3263,NA,NA,9
"LOC111131798","LOC111131798","LOC111131798",NA,"protein_coding","Eastern oyster","NC_035783.1",3.035139,"visual pigment-like receptor peropsin- transcript variant X1",NA,2,18171,1017,17918,NA,NA,3
"LOC111130898","LOC111130898","LOC111130898",NA,"protein_coding","Eastern oyster","NC_035783.1",3.078907,"solute carrier family 12 member 3-like",NA,1,16277,3543,16277,NA,NA,23
